"e, e",kb. 1 huruf kelima abjad Inggris.  2 Mus.: nada  E.
eleemosynary,ks. secara/untuk amal. e. institution lembaga amal.
elegance,"kb. kemewahan, keelokan, kecantikan, kemolekan, keluwesan. atmosphere of e. suasana kemewahan yang molek."
elegant,"kb. molek, elok, bagus sekali, luwes, perlente."
elegy,kb. (j. -gies) syair ratapan.
elem.,"1 [elementary] dasar. 2 [element] elemen, unsur."
element,"kb. 1 unsur, elemen. to be in o's e. senang sekali. 2 dasar. the elements j. hawa, cuaca (salju, angin, hujan). the five elements pancabuta."
elemental,ks. dasar. Thirst is an e. feeling Haus adalah perasaan dasar.
elementary,ks. dasar. e education pendidkan dasar. e. school sekolah dasar/rakyat.
elephant,kb. gajah.
elephantiasis,"kb. untut, sakit gajah."
elevate,"kkt. 1 mengangkat. 2 meninggikan, menaikkan. -elevated ks. yang ditinggikan, tinggi."
elevation,kb. 1 tingginya. 2 peninggian. e. of the mind meninggikan kepala pasien
elevator,kb. lift. e. boy pelayan lift. e. shaft cerobong lift.
eleven,"kb., ks. sebelas. Sport : the e. kesebelasan."
eleventh,ks. yang kesebelas. at the hour pada saat terakhir.
elf,"kb. (j. elves) peri, jin."
elicit,"kkt. 1 mendatangkan. 2 mendapatkan, memperoleh."
elide,kkt. menghilangkan bunyi dalam ucapan.
eligibility,kb. (j. -ties) sifat memenuhi syarat.
eligible,"ks. dapat dipilih, memenuhi syarat. He is not e. become a member Ia tak memenuhi syarat untuk menjadi anggota."
eliminate,"kkt. 1 menghapuskan, melenyapkan (a problem). 2 menyisihkan. 3 membersihkan, mengeluarkan. 4 (kill) menyingkirkan, membunuh."
elimination,"kb. 1 Sport : penyisihan. 2 pengeluaran, pembersihan."
elision,"kb. peniadaan/penghilangan bunyi dalam ucapan, elisi."
elite,"kb., ks. elite, golongan atas, kaum atasan, orang-orang terkemuka. e. type huruf elite pada mesin tik."
elixir,kb. obat yang mujarab untuk segala macam penyakit.
elk,kb. sejenis rusa besar.
ell,"kb. elo, ela."
ellipsis,"kb. 1 pembuangan kata atau kata-kata memenuhi bentuk kalimat berdasarkan paramasastera. 2 Gram.:  tanda pengganti, elipsis."
elliptical,ks. berbentuk bulat panjang.
elm,kb. sejenis pohon yang tinggi dan bagus.
elocution,"kb. seni deklamasi, keahlian membaca atau mengucapkan kalimat dengan logat dan lagu yang baik di muka umum."
elongate,"kkt. memperpanjang, memanjangkan mengulur."
elongation,"kb. pemanjangan, penguluran."
elope,"kki. dengan kekasih pilihannya, biasanya untuk kawin."
elopement,"kb. pelarian untuk kawin,"
eloquence,"kb. kepandaian berpidato, kelancaran berbicara, kefasihan lidah."
eloquent,ks. 1 pandai/fasih bicara. 2 penuh perasaan. e. eyes mata yang penuh perasaan. 3 yang mengesankan.
else,"ks. lain. everybody everyone e. setiap orang lain, semua (orang) lain. -kk. kalau tidak."
elsewhere,"kk. di tempat lain, di lain tempat."
elucidate,"kkt. membentangkan, menguraikan, menjelaskan. to e. a theory membentangkan teori."
elucidation,"kb. penjelasan, uraian."
elude,"kkt. mengelakkan, menghindarkan diri dari. to e. question mengelakkan pertanyaan."
elusive,ks. 1 sukar untuk dipahami. e. reply jawaban yang sukar dipahami. 2 sukar ditangkap.  The fox was too e. for me Rubah itu bagiku terlalu sukar untuk ditangkap.
em,kb. huruf  m.
emaciate,"kkt. menguruskan, membuat kurus. TB had emaciated her Tebese telah menguruskan dia. -emaciated ks. kurus, (kurus) kerempeng."
emanate,"kki. berasal, keluar. Where did the rumor e. from ? Darimana asal desas-desus itu ?"
emancipate,"kkt. memerdekakan, membebaskan."
emancipation,"kb. emansipasi, kemerdekaan, pembebasan."
emancipator,"kb. pembebas, pemerdeka."
emasculate,kki. 1 mengebiri (a person or animal). 2 melemahkan. The new law has been badly emasculated  Undang-undang yang baru itu  telah sangat  dilemahkan.
emasculation,kb. 1 pengebirian. 2 pelemahan.
embalm,kkt. membalsem. -embalming kb. pembalseman.
embankment,"kb. tambak, tanggul, pematang."
embargo,"kb. embargo, pembatasan perdagangan oleh undang-undang. to place an e. on the importation of wheat mengadakan larangan terhadap pemasukan gandum."
embark,kkt. menaikkan kekapal. He embarked his troops Dia menaikkan pasukannya kekapal. -kki. 1 memulai. to e. on a dangerous course memulai usaha yang berbahaya. Nav.: naik kapal.
embarkation,kb. 1 penaikan/kenaikan ke kapal. 2 permulaan. 3 (tempat) keberangkatan.
embarrass,kkt. 1 memalukan. 2 mempersukar. -embarrassed ks. malu. -embarrassing ks. yang memalukan. Their action were very e. Tindakan-tindakan mereka sangat memalukan.
embarrassment,kb. keadaan memalukan. Imagine my e. when ... Bayangkan bagaimana malu saya ketika itu.
embassy,kb. (j. -sies) kedutaan besar.
embattle,kkt. memerangi.
embed,kkt. (embedded) 1 menanamkan 2 melekatkan. 3 menyimpan.
embellish,"kkt. 1 membubuhi, membumbui. to e. story with membubuhi cerita dengan. 2 menghiasi. to e. a home with art objects menghiasi rumah dengan  barang-barang kesenian."
embellishment,"kb. 1 penghiasan, perhiasan. 2 hiasan. 3 pembubuhan."
ember,kb. bara api.
embezzle,kkt. menggelapkan.
embezzlement,"kb. penggelapan, pencurian."
embezzler,kb. penggelap.
embitter,kkt. menyakitkan hati. He was embittered by the remarks made about him Ia merasa sakit hati oleh sindiran-sindiran orang kepadanya.
emblazon,kkt. menghiasi. The room was emblazoned with pennants Ruang itu dihiasi dengan panji-panji.
emblem,"kb. lambang, lencana, tanda."
embodied,lih  EMBODY.
embodiment,"kb. pengejawantahan, perwujudan, penjelmaan."
embody,"kkt. (embodied) 1 mewujudkan. 2 menaruh, menambahkan, membubuhkan, memasukkan."
embolden,"kkt. membesarkan hati, memberanikan. His successes e. him Kesuksesannya menjadikan dia lebih berani."
embolism,kb. emboli.
emboss,kkt. menghiasi dengan hiasan timbul. -embossed ks. 1 bersulam timbul. e. silk sutera bersulam timbul. 2 yang ditimbulkan. e. letter huruf timbul.
embrace,"kb. pelukan, rangkulan. -kkt. 1 memeluk (a child). 2 mencakup. -kki. berpelukan. Mother and daughter embraced Ibu dan anak berpelukan."
embroider,kkt. menyulam.
embroidery,kb. (j. -ries) sulaman.
embroil,kkt. melibatkan diri. to become embroil in a border dispute terlibat dalam percekcokan perbatasan.
embryo,"kb. mudigah, janin. in e. dalam persiapan."
embryology,kb. ilmu mudigah.
emcee,"[master of ceremonies] kb. Inf.: pemimpin acara, pengatur acara. -kkt. mengatur acara, bertindak sebagai pemimpin acara."
emend,"kkt. 1 memperbaiki, mengoreksi (text). 2 mengusulkan perubahan (a law)."
emendation,"kb. 1 perbaikan, koreksi (of a tex). 2 perubahan."
emerald,"kb. jamrud, zamrud. e. green hijau zamrud. E. Isle Irlandia."
emerge,"kki. muncul, timbul. to e. as party leader muncul sebagai pemimpin partai."
emergence,"kb. timbulnya, munculnya, kemunculan. e. of new forces timbulnya kekuatan-kekuatan baru."
emergency,"kb. (j. -cies) keadaan darurat. in (case of) an e. dalam keadaan darurat.  e. room tempat memberi pertolongan pertama, kamar darurat (dirumah sakit)."
