weary,"ks. 1 capek, letih. my w. feet kakiku letih. 2 bosan, jemu. -kkt. (wearied) membosankan. -kki. bosan. -wearied ks. lelah. -wearyingks. melelahkan, meletihkan. -wearily kk. dengan lelahnya/letihnya."
weasel,kb. semacam musang. -kki. Inf.: keluar dengan susah-payah. to w. out of a situation bersusah-payah keluar dari sesuatu keadaan.
weather,"kb. 1 cuaca. w. report berita cuaca.. 2 daerah cuaca.  -kkt. 1 melalui, menyelesaikan (a problem). 2 dapat bertahan, melalui. -kki. membiarkan lama-lama dimakan cuaca. . -weathering  kb. kerusakan kena hujan dan angin, hancuran iklim."
weathercock,"kb. gada-gada, penunjuk (arah) angin."
weatherman,"kb. (j. -men) Inf.: peramal cuaca, ahli penyelidik cuaca."
weatherproof,ks. tahan cuaca.
weatherstrip,kkt. (weatherstripped) memberi pita pelindung terhadap cuaca.
weatherworn,ks. dimakan cuaca.
weave,weave
weaver,"kb. 1 penenun, tukang tenun. 2 penganyam."
web,kb. 1 jaringan. w. of lies jaringan kedustaan. 2 selaput diantara jari-jari kaki (of ducks).
webbing,"kb. anyaman, pita (tenunan) yang kuat dan lebar."
webfooted,ks. berkaki berselaput diantara jari-jari.
wed,"kkt. (wedded) 1 mengawini. She weddid him Ia menikahinya. 2 mengawinkan, menikahkan. -kki. kawin, nikah. -wedded ks. kawin. -wedding kb. 1 perkawinan, pernikahan. 2 penyatuan, perpaduan (of disparate elements)."
wed.,[Wednesday] hari Rabu.
wedge,kb. 1 baji (for spitting wood). 2 iris. a w. of cheese seiris keju. -kkt. mendesak. -kki. terjepit (in a doorway).
wedlock,kb. ikatan perkawinan.
wednesday,kb. hari Rabu.
wee,ks. (amat) kecil. a w. bit of cake kue sedikit saja. the w. small hours of the morning jauh larut malam.
wee-wee,"kki. Sl.: buang air, kencing."
weed,"kb. 1 rumput liar, rumput-rumputan. 2 Inf.: tembakau. 3 Inf.: rokok mariyuana. -weeds j. pakaian berkabung. -kkt. menyiangi, merumputi (a yard, garden).  -weeding kb. penyiangan."
weeder,kb. alat/mesin pencabut rumput liar.
weedkiller,kb. obat pembunuh rumput-rumputan.
weedy,"ks. berumput banyak, penuh rumput-rumputan (of a yard)."
week,"kb. minggu, pekan.  to be away for a w. pergi selama seminggu."
weekday,kb. hari kerja.
weekend,kb. akhir pekan/minggu. w. resort tempat bertamasya (pada) akhir pekan. -kki. bertamasya akhir pekan.
weeklong,ks. selama sepekan.
weekly,weekly
weenie,#NAME?
weeny,ks. sangat kecil. lih  TEENY.
weep,kkt. (wept) mencucurkan. to w. buckets of tears menangis mencucurkan air mata yang banyak. -kki. menangis. -weeping kb. tangisan.
weepy,ks. Inf.: mudah menangis.
weevil,kb. kumbang penggerek. lih  BOLL.
weigh,kkt. 1 menimbang (a package). 2 mempertimbangkan (a matter). 3 membongkar. -kki. menimbang berat badan.
weight,"kb. 1 berat, bobot. 2 batu ladang (on fishing line). 3 tahanan. -weights j. (anak) timbangan. -kkt. menghimpit."
weightiness,"kb. kepentingan, pentingnya. the w. of the problem pentingnya soal itu."
weightless,ks. tanpa bobot.
weightlessness,kb. keadaan tak berbobot.
weighty,"ks. berat, penting (problem)."
weird,ks. 1 aneh (person). 2 mengerikan (story).
weirdie,"kb. Sl.: orang yang aneh, orang yang luar biasa."
weirdo,weirdo
welcome,kb. 1 sambutan. 2 selamat datang. -ks. 1 menggembirakan. 2  boleh saja. -kkt. 1 menyambut (s.o.). 2 menerima dengan senang hati (an opportunity).
weld,"kkt. 1 memateri, melas (metal). 2 menyatukan, menggalang (the country). -kki. dilas. -welding kb. pekerjaan mengelas. w. torch obor/api pengelas."
welder,"kb. pengelas, tukang las."
welfare,"kb. kesejahteraan, keselamatan. for his own w. untuk keselamatannya sendiri."
well,"kb. 1 sumur, mata air, perigi.  -ks. 1 sehat. 2 baik.  kseru.  nah. well-advertised ks. kerap/banyak diiklankan. well-advised ks. mendapat nasehat yang baik. well-appointed ks. yang perkakas rumahnya baik (of an apartment). well-balanced ks. seimbang."
wellborn,ks. dari keluarga orang baik-baik.
wellspring,kb. sumber/mata air.
welsh,kki. tidak memenuhi. to w. on a contract mengingkari kontrak.
welt,kb. bilur.
welter,kb. campuran/tumpukan yang kacau.
welterweight,welterweight
wench,"kb. dara, gadis."
wend,kkt. pergi. to w. o's up to pergi naik ke. to w. o's way home pergi pulang. -kki. pergi.
went,lih  GO.
wept,lih   WEEP.
were,lih   BE.
weren't,[were not] telah tidak (ada).
wert,lih  BE.
west,"kb. barat, sebelah/bagian barat. The sun sets in the w. Matahari terbenam disebelah barat. The W. 1 Barat. 2 US.: negara-negara bagian yang terletak di bagian barat. west-bound ks. yang menuju ke barat (traffic)."
westerly,"kb. angin barat. -ks. ke barat, dari barat."
western,kb. 1 pilem koboi. 2 buku koboi. -ks. barat. the W. bloc Barat. W civilization peradaban barat. W. Hemisphere belahan bumi barat. W. Union kantor kawat di AS.
westerner,westerner
westernization,kb. pembaratan.
westernize,kkt. meembaratkan.
westward(s),kk. menuju/ke jurusan barat.
wet,kb. kebasahan. Don't go out in the w. Jangan keluar/pergi berhujan. -ks. basah.  -kkt. (wet atau wetted) membasahi.  -weting kb. pembasahan.
wetness,kb. kebasahan.
wha(t)chamacallit,kb. Inf.: apa namanya.
whacha,[what are you] Sl.: W. doing ? Ngapain ? Sedang berbuat apa. ?
whack,kb. pukulan keras. Sl.: to have/ take a w. at mencoba.  -kkt. memukul. -whacking Inf.: ks. amat besar.
whacky,#NAME?
whaddya,[what do you] Sl.: apa yang kamu. W. know ? Apa yang kamu  tahu ?
whale,"kb. ikan paus. a w. of yang amat hebat. -kkt. Inf.: memukul, menghantam, menghajar. -whaling kb. penangkapan ikan paus. w. ship kapal penangkapan ikan paus."
whalebone,whalebone
whaler,kb. 1 (ship) kapal penangkap ikan paus. 2 penangkapan ikan paus.
wham,"kseru. bluk, bam. -kkt. (whammed)  memukulkan, menumbukkan."
wharf,kb. (j. whareves) dermaga.
wharves,j. lih   WHARF.
what,ks. 1 apa. 2 alangkah. -kg. 1 apa. 2 siapa. 3 berapa. 4 apa yang. 5 yang. 6 yang mana.
whatever,"ks. apa saja, apapun. -kg. 1 apa saja. 2 Inf.: apakah gerangan."
whatnot,kb. 1 barang kecil. 2 rak dinding kecil.
whatsoever,#NAME?
wheat,"kb. terigu, gandum. w. belt daerah terigu/gandum. w. germ benih gandum."
wheatcake,kb. kue gandum/dadar/serabi.
wheatland,kb. tanah perladangan atau daerah gandum.
wheedle,"kkt. 1 membujuk (s.o.). 2  memancing, menggait, menipu (information out of s.o.)."
wheel,"kb. 1 roda.  2 setir.  3 roda, jentera (in a watch). 4 Sl.: tokoh, gembong. -kkt. memutar (a car). -kki. berbalik. w. chair kursi-roda."
wheelbarrow,"kb. gerobak tangan, kereta sorong (yang beroda satu)."
wheelbase,kb. jarak roda.
wheeler,kb. kendaraan beroda. two-wheeler bike sepeda roda dua. wheeler-dealer kb. pedagang lihay.
wheelwright,kb. tukang roda.
wheeze,"kb. bunyi menciut-ciut, mendesah. -kki. berbunyi menciut-ciut."
whelp,kb. anak (binatang). -kki. melahirkan.
when,"kb. lih  WHERE. -kk. bila (mana), kapan.-kg. sejak kapan. -ksam. 1 kalau, bilamana. 2 ketika (past time)."
whence,kk. darimana.
whenever,"kk. sewaktu-waktu, kapan-kapan. -ksam.  bilamana saja."
where,kb. the w. and when of his birth dimana dan kapan ia dilahirkan. -kk. 1 dimana. 2 mana. 3 dari mana. 4 kemana. 5 apa. 6 padahal.  -kg. tempat.
whereabout(s),kb. tempat berada. His w. is know Tempat dimana dia berada diketahui. -kk. dimana. W. is there a telephone ? Dimana ada telepon ?
whereas,"kb. mengingat. W., we ... Oleh karena kami... -ksam. sedangkan, sebaliknya, padahal."
whereby,"kk., ksam. untuk, dengan jalan mana. I know no other way w.  it can be achieved  saya tidak tahu jalan lain untuk mencapainya."
wherefore,kb. lih  WHY. -kk. mengapa.
wherein,"kk., ksam. dimana, dalam mana."
whereof,"kk., ksam. tentang apa. He knows w. he speaks Ia menetahui tentang apa ia berbicara."
wheresoever,"kk., ksam. kemanapun."
whereupon,"kk., ksam. lalu, kemudian, sesudah mana."
wherever,"kk. kemanapun, kemana saja. W. you go, you'll be welcome Kemanapun engkau pergi, engkau akan diterima dengan ramah-tamah."
wherewithal,"kb. alat atau uang yang diperlukan, persediaan yang diperlukan."
whet,"kkt. (whetted) 1 mengasah (a knife). 2 merangsang, menambah (an appetite)."
whether,ksam. apa(kah).  Do you know w. she's coming ? Tahukah engkau apakah ia akan datang atau tidak?
whetstone,kb. batu asah(an).
whew,kseru. wah.
whey,kb. air dadih.
which,ks. yang mana.  -kg. 1 yang mana.  W. is your car ? Yang mana mobilmu 2 yang.  the boat w. I owned perahu yang saya punyai/miliki.
whichever,"ks., kg. (yang) mana saja. take w. hat you like Ambillah topi yang mana saja yang saudara sukai."
whiff,kb. 1 bau (of tobacco). 2 kepulan (of smoke).
while,"kb. saat, waktu. a little w. sebentar. the w. sementara itu. once in a w. sekali-sekali, terkadang-kadang. -ksam. 1 sementara. 2 walaupun.  3 sedangkan.  -kkt. melewatkan."
whim,kb. tingkah.
whimper,kb. rengek. kki. merengek.
whimsical,"ks. tidak keruan, aneh, bertingkah."
whimsy,kb. (j. -sies) sifat/lelucon yang aneh.
whine,kb. 1 rengekan (of a child). 2 deru (of an engine). -kki. 1 mendengking (of a dog). 2 merengek (of a person). 3 menderu (of an engine). to w. for merengek meminta (sesuatu).
whip,"kb. 1 cemeti, cambuk, pecut. 2 Pol.: tokoh politik penggerak. -kkt. (whipped) 1 mencemeti, mencambuk, mendera (seseorang). 2 Inf.: (defeat) mengalahkan. 3 mengocok (cream). 4 melambai - lambaikan. -whipping kb. dera."
whiplash,kb. 1 pukulan cemeti. 2 salah urat pada leher karena kepala tersentak (from an accident). -kkt. memukul dengan cemeti.
whipper-snapper,kb. pemuda yang congkak.
whippoorwill,kb. semacam burung di AS.
whipsaw,kb. gergaji tangan.
whir,"kb. deru, desing. -kki. (whirred) mendesing, menderu."
whirl,"kb. 1 pusingan. 2 perasaan bingung. -kkt. memutar, memusingkan (a baton). -kki. berputar."
whirligig,"kb. semacam gasing, mainan yang dapat  diputar."
whirlpool,kb. pusaran air.
whirlwind,kb. angin puyuh/langkisau/selembubu.
whirlybird,kb. Inf.: helikopter.
whirr,#NAME?
whish,kb. bunyi mendesir.
whisk(e)y,kb. wiski. w. and soda wiski soda.
whisker,kb. 1 rambut janggut (of persons). 2 sungut kucing (of cat). -whiskers j. jambang (di pipi).
whisper,"kb. bisikan, to speak in a w. berbisik-bisik. -kkt. membisikkan. -kki. berbisik. -whispering kb. berbisik-bisik. w. campaign kampanye bisik-bisik/desas-desus."
whist,kb. semacam permainan kartu.
whistle,"kb. 1 peluit. 2 bunyi peluit. 3 siul(an). -kkt. bersiul melagukan 9a melody). -kki. 1 bersiul (by aperson). 2 mmbunyikan peluit (by referee, conductor)."
whistler,"kb. penyiul, orang yang bersiul."
whit,kb. hal yang kecil.  I don't care a w. about his health Aku tak perduli sedikitpun tentang kesehatannya.
white,"kb. putih.  -whites j. 1 kaum/bangsa kulit putih. 2  telur putih. -ks. 1 putih. 2 menjadi pucat (from fear).  white-faced ks. pucat pasi, bermuka pucat. white-haired/-headed ks. beruban, berambut putih."
whitecap,"kb. ombak yang memutih, ombak yang berpuncak putih, kepala ombak."
whiten,"kkt. memutihkan, membuat putih. -kki. memutih."
whitener,kb. obat/bahan pemutih.
whiteness,"kb. putihnya, sifat putih."
whitewall,kb. ban berpinggiran putih.
whitewash,"kb. cat/air kapur. -kkt. 1 mengapuri, melabur. 2 Inf.: mencukur (the opposing team). 3 menutupi kesalahan-kesalahan (an investigation)."
whither,kk. kemana.
whitish,ks. keputih-putihan.
whitsuntide,kb. hari-hari Pantekosta.
whittle,"kkt. meraut, mengerat (wood, a statue). -kki. to w. down o's expenses mengurangi pengeluaran (sedikit demi sedikit)."
